Best parameters,"{'knn__n_neighbors': 5, 'pca__n_components': 26}"
Metric,Train,Validation
Accuracy,0.8095238095238095,0.4666666666666667
Precision,0.7857142857142857,0.4782608695652174
Recall,0.859375,0.7333333333333333
F1,0.8208955223880597,0.5789473684210527
