Best parameters,"{'pca__n_components': 20, 'svm__C': 3, 'svm__kernel': 'linear'}"
Metric,Train,Validation
Accuracy,0.9444444444444444,0.7666666666666667
Precision,0.9830508474576272,0.7222222222222222
Recall,0.90625,0.8666666666666667
F1,0.943089430894309,0.7878787878787878
